path,ext,lines
angular/src/favicon.ico,.ico,76
angular/src/index.html,.html,28
angular/src/main.ts,.ts,35
angular/src/styles.scss,.scss,35
angular/src/test-setup.ts,.ts,125
angular/src/app/app.component.html,.html,14
angular/src/app/app.component.scss,.scss,44
angular/src/app/app.component.spec.ts,.ts,30
angular/src/app/app.component.ts,.ts,360
angular/src/app/app.config.ts,.ts,9
angular/src/app/app.routes.ts,.ts,79
angular/src/app/version.ts,.ts,35
angular/src/app/components/analysis-block/analysis-block-demo.component.ts,.ts,48
angular/src/app/components/analysis-block/analysis-block.component.ts,.ts,148
angular/src/app/components/app-footer/app-footer.component.html,.html,57
angular/src/app/components/app-footer/app-footer.component.scss,.scss,6
angular/src/app/components/app-footer/app-footer.component.ts,.ts,74
angular/src/app/components/app-header/app-header.component.html,.html,50
angular/src/app/components/app-header/app-header.component.scss,.scss,133
angular/src/app/components/app-header/app-header.component.ts,.ts,152
angular/src/app/components/app-header/_util/action-style-map.ts,.ts,12
angular/src/app/components/brand-logo/brand-logo.component.html,.html,10
angular/src/app/components/brand-logo/brand-logo.component.scss,.scss,2
angular/src/app/components/brand-logo/brand-logo.component.ts,.ts,80
angular/src/app/components/brand-watermark/brand-watermark.component.html,.html,7
angular/src/app/components/brand-watermark/brand-watermark.component.scss,.scss,36
angular/src/app/components/brand-watermark/brand-watermark.component.ts,.ts,33
angular/src/app/components/debug-panel/debug-error.handler.ts,.ts,17
angular/src/app/components/debug-panel/debug-panel.component.html,.html,51
angular/src/app/components/debug-panel/debug-panel.component.scss,.scss,35
angular/src/app/components/debug-panel/debug-panel.component.ts,.ts,98
angular/src/app/components/debug-panel/debug-panel.service.ts,.ts,25
angular/src/app/components/debug-system/debug-system.component.html,.html,6
angular/src/app/components/debug-system/debug-system.component.scss,.scss,25
angular/src/app/components/debug-system/debug-system.component.ts,.ts,13
angular/src/app/components/demos/suggested-input-demo.component.html,.html,188
angular/src/app/components/demos/suggested-input-demo.component.scss,.scss,104
angular/src/app/components/demos/suggested-input-demo.component.ts,.ts,67
angular/src/app/components/dev/app-state-debug.component.ts,.ts,132
angular/src/app/components/form-toolbar/form-toolbar.component.html,.html,3
angular/src/app/components/form-toolbar/form-toolbar.component.scss,.scss,5
angular/src/app/components/form-toolbar/form-toolbar.component.ts,.ts,9
angular/src/app/components/kpi-card/kpi-card.component.html,.html,4
angular/src/app/components/kpi-card/kpi-card.component.scss,.scss,2
angular/src/app/components/kpi-card/kpi-card.component.ts,.ts,11
angular/src/app/components/kpi-stoplight/kpi-stoplight.component.ts,.ts,89
angular/src/app/components/loading-overlay/loading-overlay.component.html,.html,8
angular/src/app/components/loading-overlay/loading-overlay.component.scss,.scss,80
angular/src/app/components/loading-overlay/loading-overlay.component.ts,.ts,16
angular/src/app/components/performance-card/performance-card.component.ts,.ts,172
angular/src/app/components/practice-prompts/practice-prompts.component.ts,.ts,382
angular/src/app/components/pro-tips/pro-tips.component.ts,.ts,374
angular/src/app/components/quick-start-wizard/quick-start-wizard.component.html,.html,171
angular/src/app/components/quick-start-wizard/quick-start-wizard.component.scss,.scss,324
angular/src/app/components/quick-start-wizard/quick-start-wizard.component.ts,.ts,115
angular/src/app/components/scenario-selector/scenario-selector.component.ts,.ts,181
angular/src/app/components/validated-input/validated-input.component.ts,.ts,307
angular/src/app/components/wizard-ui/currency-input.component.ts,.ts,87
angular/src/app/components/wizard-ui/net-income-summary.component.ts,.ts,58
angular/src/app/components/wizard-ui/number-input.component.ts,.ts,77
angular/src/app/components/wizard-ui/suggested-currency-input.component.ts,.ts,81
angular/src/app/components/wizard-ui/suggested-form-field.component.ts,.ts,158
angular/src/app/components/wizard-ui/suggested-number-input.component.ts,.ts,90
angular/src/app/components/wizard-ui/suggested-percentage-input.component.ts,.ts,90
angular/src/app/components/wizard-ui/toggle-question.component.ts,.ts,75
angular/src/app/components/wizard-ui/wizard-form-field.component.ts,.ts,28
angular/src/app/components/wizard-ui/wizard-form-section.component.ts,.ts,43
angular/src/app/components/wizard-ui/wizard-page.component.ts,.ts,194
angular/src/app/core/.gitkeep,.gitkeep,0
angular/src/app/core/logger.ts,.ts,75
angular/src/app/core/contracts/expenses/expenses.contract.ts,.ts,17
angular/src/app/core/contracts/income/income-drivers.contract.ts,.ts,20
angular/src/app/core/services/calculation.service.ts,.ts,10
angular/src/app/core/services/config.service.ts,.ts,27
angular/src/app/core/services/theme.service.ts,.ts,111
angular/src/app/core/services/wizard-state.service.ts,.ts,1450
angular/src/app/core/services/bidir/bidir.service.ts,.ts,25
angular/src/app/core/services/kpi/kpi-adapter.service.ts,.ts,26
angular/src/app/core/services/kpi/kpi-rules-v2.service.ts,.ts,70
angular/src/app/core/services/rent-guard/rent-guard.service.ts,.ts,16
angular/src/app/core/services/report-assembler/report-assembler.service.ts,.ts,13
angular/src/app/core/tokens/feature-flags.token.ts,.ts,20
angular/src/app/core/tokens/region-configs.token.ts,.ts,53
angular/src/app/domain/.gitkeep,.gitkeep,0
angular/src/app/domain/calculations/adapters.ts,.ts,59
angular/src/app/domain/calculations/calc.spec.ts,.ts,66
angular/src/app/domain/calculations/calc.ts,.ts,174
angular/src/app/domain/calculations/kpi.spec.ts,.ts,30
angular/src/app/domain/calculations/kpi.ts,.ts,60
angular/src/app/domain/calculations/wizard-helpers.spec.ts,.ts,48
angular/src/app/domain/calculations/wizard-helpers.ts,.ts,199
angular/src/app/domain/data/monthly-distribution.data.ts,.ts,185
angular/src/app/domain/expenses/expense-metadata.ts,.ts,58
angular/src/app/domain/expenses/expense-rules.ts,.ts,95
angular/src/app/domain/services/analysis-data-assembler.service.ts,.ts,48
angular/src/app/domain/services/expense-text.service.ts,.ts,91
angular/src/app/domain/services/kpi-evaluator.service.ts,.ts,227
angular/src/app/domain/services/metrics-assembler.service.ts,.ts,127
angular/src/app/domain/services/suggestion-engine.service.ts,.ts,242
angular/src/app/domain/types/analysis.types.ts,.ts,47
angular/src/app/domain/types/calculation.types.ts,.ts,80
angular/src/app/domain/types/expenses.types.ts,.ts,271
angular/src/app/domain/types/performance.types.ts,.ts,32
angular/src/app/domain/types/suggestion.types.ts,.ts,90
angular/src/app/domain/types/wizard.types.ts,.ts,155
angular/src/app/domain/utils/validation.utils.ts,.ts,214
angular/src/app/features/expenses/expenses.page.html,.html,0
angular/src/app/features/expenses/expenses.page.ts,.ts,254
angular/src/app/lib/brands.ts,.ts,16
angular/src/app/lib/milestones.ts,.ts,23
angular/src/app/lib/regional-branding.ts,.ts,228
angular/src/app/lib/api-client/client.ts,.ts,19
angular/src/app/lib/api-client/types.d.ts,.ts,56
angular/src/app/pages/dashboard/dashboard.component.html,.html,41
angular/src/app/pages/dashboard/dashboard.component.scss,.scss,2
angular/src/app/pages/dashboard/dashboard.component.ts,.ts,71
angular/src/app/pages/dashboard/components/dashboard-results-panel.component.html,.html,16
angular/src/app/pages/dashboard/components/dashboard-results-panel.component.scss,.scss,4
angular/src/app/pages/dashboard/components/dashboard-results-panel.component.ts,.ts,114
angular/src/app/pages/dashboard/components/dashboard-tri-column.component.html,.html,0
angular/src/app/pages/dashboard/components/dashboard-tri-column.component.scss,.scss,0
angular/src/app/pages/dashboard/components/dashboard-tri-column.component.ts,.ts,12
angular/src/app/pages/dashboard/components/expense-breakdown-card.component.html,.html,49
angular/src/app/pages/dashboard/components/expense-breakdown-card.component.ts,.ts,15
angular/src/app/pages/dashboard/components/income-summary-card.component.html,.html,34
angular/src/app/pages/dashboard/components/income-summary-card.component.ts,.ts,16
angular/src/app/pages/dashboard/components/inputs-panel.component.ts,.ts,790
angular/src/app/pages/dashboard/components/kpi-stoplights.component.html,.html,28
angular/src/app/pages/dashboard/components/kpi-stoplights.component.scss,.scss,6
angular/src/app/pages/dashboard/components/kpi-stoplights.component.ts,.ts,32
angular/src/app/pages/dashboard/components/monthly-forecast-card.component.html,.html,6
angular/src/app/pages/dashboard/components/monthly-forecast-card.component.scss,.scss,13
angular/src/app/pages/dashboard/components/monthly-forecast-card.component.ts,.ts,22
angular/src/app/pages/dashboard/components/pro-tips-card.component.html,.html,10
angular/src/app/pages/dashboard/components/pro-tips-card.component.scss,.scss,22
angular/src/app/pages/dashboard/components/pro-tips-card.component.ts,.ts,14
angular/src/app/pages/dashboard/components/projected-performance-panel.component.ts,.ts,255
angular/src/app/pages/dashboard/_facade/dashboard.facade.ts,.ts,26
angular/src/app/pages/dashboard/_types/dashboard-flags.ts,.ts,10
angular/src/app/pages/reports/pnl/components/reports.component.ts,.ts,54
angular/src/app/pages/reports/pnl/_guards/kpi-sanity.guard.ts,.ts,11
angular/src/app/pages/reports/pnl/_pipes/money.pipe.ts,.ts,11
angular/src/app/pages/reports/pnl/_pipes/quarterly-data.pipe.ts,.ts,12
angular/src/app/pages/reports/pnl/_shims/domain-data.d.ts,.ts,24
angular/src/app/pages/wizard/expenses/expenses.component.html,.html,10
angular/src/app/pages/wizard/expenses/expenses.component.scss,.scss,0
angular/src/app/pages/wizard/expenses/expenses.component.ts,.ts,12
angular/src/app/pages/wizard/expenses/components/expenses.component.html,.html,351
angular/src/app/pages/wizard/expenses/components/expenses.component.scss,.scss,570
angular/src/app/pages/wizard/expenses/components/expenses.component.ts,.ts,750
angular/src/app/pages/wizard/income-drivers/income-drivers.component.html,.html,17
angular/src/app/pages/wizard/income-drivers/income-drivers.component.scss,.scss,91
angular/src/app/pages/wizard/income-drivers/income-drivers.component.ts,.ts,45
angular/src/app/pages/wizard/income-drivers/components/new-store-section.component.ts,.ts,424
angular/src/app/pages/wizard/income-drivers/components/projected-income-drivers.component.html,.html,283
angular/src/app/pages/wizard/income-drivers/components/projected-income-drivers.component.scss,.scss,434
angular/src/app/pages/wizard/income-drivers/components/projected-income-drivers.component.ts,.ts,403
angular/src/app/pages/wizard/income-drivers/components/py-income-drivers.component.html,.html,143
angular/src/app/pages/wizard/income-drivers/components/py-income-drivers.component.scss,.scss,242
angular/src/app/pages/wizard/income-drivers/components/py-income-drivers.component.ts,.ts,153
angular/src/app/pages/wizard/income-drivers/components/strategic-analysis.component.html,.html,48
angular/src/app/pages/wizard/income-drivers/components/strategic-analysis.component.scss,.scss,71
angular/src/app/pages/wizard/income-drivers/components/strategic-analysis.component.ts,.ts,88
angular/src/app/pages/wizard/income-drivers/components/target-income-drivers.component.html,.html,145
angular/src/app/pages/wizard/income-drivers/components/target-income-drivers.component.scss,.scss,165
angular/src/app/pages/wizard/income-drivers/components/target-income-drivers.component.ts,.ts,188
angular/src/app/pages/wizard/pnl/pnl.component.html,.html,19
angular/src/app/pages/wizard/pnl/pnl.component.scss,.scss,5
angular/src/app/pages/wizard/pnl/pnl.component.ts,.ts,16
angular/src/app/pages/wizard/pnl/components/pnl.component.html,.html,276
angular/src/app/pages/wizard/pnl/components/pnl.component.scss,.scss,2
angular/src/app/pages/wizard/pnl/components/pnl.component.ts,.ts,328
angular/src/app/pages/wizard/pnl/components/reports.component.html,.html,132
angular/src/app/pages/wizard/pnl/components/reports.component.scss,.scss,45
angular/src/app/pages/wizard/pnl/components/reports.component.ts,.ts,628
angular/src/app/pages/wizard/_facade/wizard-state.facade.ts,.ts,28
angular/src/app/pages/wizard/_guards/wizard-ready.guard.ts,.ts,8
angular/src/app/pages/wizard/_providers/wizard.providers.ts,.ts,4
angular/src/app/pages/wizard/_util/safe-get.ts,.ts,9
angular/src/app/services/api-client.service.ts,.ts,16
angular/src/app/services/app-config.service.ts,.ts,26
angular/src/app/services/branding.service.ts,.ts,83
angular/src/app/services/excel-export.service.ts,.ts,211
angular/src/app/services/expenses.service.ts,.ts,58
angular/src/app/services/milestones.service.ts,.ts,60
angular/src/app/services/pdf-export.service.ts,.ts,32
angular/src/app/services/projected.service.ts,.ts,90
angular/src/app/services/rent-guard.service.ts,.ts,20
angular/src/app/services/settings.service.ts,.ts,57
angular/src/app/shared/debug/debug-flags.service.ts,.ts,41
angular/src/app/shared/debug/debug-log.service.ts,.ts,33
angular/src/app/shared/debug/debug-overlay.component.html,.html,38
angular/src/app/shared/debug/debug-overlay.component.scss,.scss,35
angular/src/app/shared/debug/debug-overlay.component.ts,.ts,59
angular/src/app/shared/directives/currency-input.directive.ts,.ts,90
angular/src/app/shared/directives/index.ts,.ts,2
angular/src/app/shared/directives/percentage-input.directive.ts,.ts,81
angular/src/app/shared/expenses/expense-metadata.ts,.ts,82
angular/src/app/shared/expenses/expense-text.service.ts,.ts,76
angular/src/app/shared/expenses/expenses.service.ts,.ts,212
angular/src/app/shared/expenses/expenses.types.ts,.ts,34
angular/src/app/shared/expenses/index.ts,.ts,4
angular/src/app/shared/expenses/kpi-adapter.service.ts,.ts,76
angular/src/app/shared/expenses/__tests__/expense-text.service.spec.ts,.ts,32
angular/src/app/shared/expenses/__tests__/kpi-adapter.service.spec.ts,.ts,26
angular/src/app/shared/expenses/__tests__/kpi-evaluator.service.spec.ts,.ts,42
angular/src/app/types/api.d.ts,.ts,100
angular/src/app/types/api.namespace.d.ts,.ts,14
angular/src/assets/.gitkeep,.gitkeep,0
angular/src/assets/brands/ca/LT-Canada-Logo-RGB.jpg,.jpg,393
angular/src/assets/brands/ca/LT-Canada-Wide-Red.png,.png,111
angular/src/assets/brands/ca/LTCA-Leaf-ISO-Red.jpg,.jpg,300
angular/src/assets/brands/us/LT-2022-Stack-Color-RGB.png,.png,240
angular/src/assets/brands/us/LT-2022-Wide-RGB.png,.png,118
angular/src/assets/brands/us/LT-Torch-CMYK.png,.png,32
angular/src/assets/icons/cdn_Support_agent.png,.png,12
angular/src/assets/icons/us_Support_agent.png,.png,9
angular/src/styles/_base.scss,.scss,168
angular/src/styles/_kpi.scss,.scss,58
angular/src/styles/_layout.scss,.scss,105
angular/src/styles/_tokens.scss,.scss,59
